# Time,     Fx,      Fy,      Fz,      Mx,      My,      Mz						
# (s)       (N)      (N)      (N)      (N-m)    (N-m)    (N-m)						
300	0	      0	        0       0       0	0
300.01	0             0	        0	0	0	0
301.36	-246.1537688	-123.0768844	0	0	0	0
301.37	-246.1537688	-123.0768844	0	0	0	0
301.38	-246.1537688	-123.0768844	0	0	0	0
301.39	-246.1537688	-123.0768844	0	0	0	0
301.4	-246.1537688	-123.0768844	0	0	0	0
301.41	-369.2306533	-123.0768844	0	0	0	0
301.42	-369.2306533	-123.0768844	0	0	0	0
301.43	-369.2306533	-123.0768844	0	0	0	0
301.44	-369.2306533	-123.0768844	0	0	0	0
301.45	-369.2306533	-123.0768844	0	0	0	0
301.46	-369.2306533	-123.0768844	0	0	0	0
301.47	-369.2306533	-123.0768844	0	0	0	0
301.48	-369.2306533	-123.0768844	0	0	0	0
301.49	-369.2306533	-246.1537688	0	0	0	0
301.5	-369.2306533	-246.1537688	0	0	0	0
301.51	-369.2306533	-123.0768844	0	0	0	0
301.52	-369.2306533	-123.0768844	0	0	0	0
301.53	-369.2306533	-123.0768844	0	0	0	0
301.54	-369.2306533	-123.0768844	0	0	0	0
301.55	-369.2306533	-123.0768844	0	0	0	0
301.56	-369.2306533	-123.0768844	0	0	0	0
301.57	-369.2306533	-123.0768844	0	0	0	0
301.58	-369.2306533	-123.0768844	0	0	0	0
301.59	-369.2306533	-123.0768844	0	0	0	0
301.6	-369.2306533	-123.0768844	0	0	0	0
301.61	-369.2306533	-123.0768844	0	0	0	0
301.62	-369.2306533	-123.0768844	0	0	0	0
301.63	-369.2306533	-123.0768844	0	0	0	0
301.64	-492.3075377	-123.0768844	0	0	0	0
301.65	-492.3075377	-123.0768844	0	0	0	0
301.66	-369.2306533    	0	0	0	0	0
301.67	-369.2306533	-123.0768844	0	0	0	0
301.68	-492.3075377	-123.0768844	0	0	0	0
301.69	-492.3075377	-123.0768844	0	0	0	0
301.7	-492.3075377	-123.0768844	0	0	0	0
301.71	-492.3075377	-123.0768844	0	0	0	0
301.72	-492.3075377	-123.0768844	0	0	0	0
301.73	-492.3075377    	0	0	0	0	0
301.74	-492.3075377	-123.0768844	0	0	0	0
